Started at: 20:40:09
['/DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx
✅ Saved → RBQ | Camarague | Row 9
✅ Saved → RBQ | Camarague | Row 10
✅ Saved → RBQ | Camarague | Row 11
✅ Saved → RBQ | Camarague | Row 12
✅ Saved → RBQ | Camarague | Row 13
✅ Saved → RBQ | Camarague | Row 14
✅ Saved → RBQ | Camarague | Row 15
✅ Saved → RBQ | Camarague | Row 16
✅ Saved → RBQ | Camarague | Row 17
✅ Saved → RBQ | Camarague | Row 18
✅ Saved → RBQ | Camarague | Row 19
✅ Saved → RBQ | Camarague | Row 20
✅ Saved → RBQ | Camarague | Row 21
✅ Saved → RBQ | Camarague | Row 22
✅ Saved → RBQ | Camarague | Row 23
✅ Saved → RBQ | Camarague | Row 24
✅ Saved → RBQ | Camarague | Row 25
✅ Saved → RBQ | Camarague | Row 26
✅ Saved → RBQ | Camarague | Row 27
✅ Saved → RBQ | Camarague | Row 28
✅ Saved → RBQ | Camarague | Row 29
✅ Saved → RBQ | Camarague | Row 30
✅ Saved → RBQ | Camarague | Row 31
✅ Saved → RBQ | Camarague | Row 32
✅ Saved → RBQ | Camarague | Row 33
✅ Saved → RBQ | Camarague | Row 34
✅ Saved → RBQ | Camarague | Row 35
✅ Saved → RBQ | Camarague | Row 36
✅ Saved → RBQ | Camarague | Row 37
✅ Saved → RBQ | Camarague | Row 38
✅ Saved → RBQ | Camarague | Row 39
✅ Saved → RBQ | Camarague | Row 40
✅ Saved → RBQ | Camarague | Row 41
✅ Saved → RBQ | Camarague | Row 42
✅ Saved → RBQ | Camarague | Row 43
✅ Saved → RBQ | Camarague | Row 44
✅ Saved → RBQ | Camarague | Row 45
✅ Saved → RBQ | Camarague | Row 46
✅ Saved → RBQ | Camarague | Row 47
✅ Saved → RBQ | Camarague | Row 48
✅ Saved → RBQ | Camarague | Row 49
✅ Saved → RBQ | Camarague | Row 50
✅ Saved → RBQ | Camarague | Row 51
✅ Saved → RBQ | Camarague | Row 52
✅ Saved → RBQ | Camarague | Row 53
✅ Saved → RBQ | Camarague | Row 54
✅ Saved → RBQ | Camarague | Row 55
✅ Saved → RBQ | Camarague | Row 56
✅ Saved → RBQ | Camarague | Row 57
✅ Saved → RBQ | Camarague | Row 58
✅ Saved → RBQ | Camarague | Row 59
✅ Saved → RBQ | Camarague | Row 60
✅ Saved → RBQ | Camarague | Row 61
✅ Saved → RBQ | Camarague | Row 62
✅ Saved → RBQ | Camarague | Row 63
✅ Saved → RBQ | Camarague | Row 64
✅ Saved → RBQ | Camarague | Row 65
✅ Saved → RBQ | Camarague | Row 66
✅ Saved → RBQ | Camarague | Row 67
✅ Saved → RBQ | Camarague | Row 68
✅ Saved → RBQ | Camarague | Row 69
✅ Saved → RBQ | Camarague | Row 70
✅ Saved → RBQ | Camarague | Row 71
✅ Saved → RBQ | Camarague | Row 72
✅ Saved → RBQ | Camarague | Row 73
✅ Saved → RBQ | Camarague | Row 74
✅ Saved → RBQ | Camarague | Row 80
✅ Saved → RBQ | Camarague | Row 81
✅ Saved → RBQ | Camarague | Row 82
✅ Saved → RBQ | Camarague | Row 83
✅ Saved → RBQ | Camarague | Row 84
✅ Saved → RBQ | Camarague | Row 85
✅ Saved → RBQ | Camarague | Row 87
✅ Saved → RBQ | Camarague | Row 88
✅ Saved → RBQ | Camarague | Row 98
✅ Saved → RBQ | Camarague | Row 111
✅ Saved → RBQ | Camarague | Row 113

✅ COMPLETE!
📄 Live-updating CSV: /DATA/rohan_kirti/country/france/RBQ/Results_RBQ.csv
Ended at: 21:10:50
Total Duration: 0:30:40.895717
✅ Successfully created '/DATA/rohan_kirti/country/france/RBQ/Results_RBQ.xlsx'
