Started at: 09:48:35
['/DATA/rohan_kirti/country/sudan/RBQ/Sudan_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/sudan/RBQ/Sudan_RBQ.xlsx
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 112
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 113
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 114
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 115
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 116
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 117
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 118
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 119
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 120
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 121
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 122
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 123
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 124
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 125
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 126
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 127
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 128
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 129
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 130
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 131
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 132
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 133
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 134
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 135
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 136
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 137
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 138
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 139
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 140
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 141
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 142
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 143
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 144
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 145
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 146
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 147
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 148
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 149
✅ Saved → RBQ | Cow_Fighting | Row 0
✅ Saved → RBQ | Cow_Fighting | Row 1
✅ Saved → RBQ | Cow_Fighting | Row 2
✅ Saved → RBQ | Cow_Fighting | Row 3
✅ Saved → RBQ | Cow_Fighting | Row 4
✅ Saved → RBQ | Cow_Fighting | Row 5
✅ Saved → RBQ | Cow_Fighting | Row 6
✅ Saved → RBQ | Cow_Fighting | Row 7
✅ Saved → RBQ | Cow_Fighting | Row 8
✅ Saved → RBQ | Cow_Fighting | Row 9
✅ Saved → RBQ | Cow_Fighting | Row 10
✅ Saved → RBQ | Cow_Fighting | Row 11
✅ Saved → RBQ | Cow_Fighting | Row 12
